iter	Passed	Remaining
0	1	142
1	2	127
2	3	116
3	4	106
4	5	104
5	6	103
6	7	101
7	8	99
8	9	97
9	10	95
10	11	94
11	12	92
12	13	89
13	14	86
14	14	83
15	15	81
16	16	78
17	16	76
18	17	74
19	18	73
20	19	71
21	19	69
22	20	68
23	21	66
24	21	65
25	22	64
26	23	62
27	23	61
28	24	60
29	25	59
30	26	58
31	26	57
32	27	56
33	28	55
34	29	53
35	29	52
36	30	52
37	31	51
38	32	50
39	33	49
40	33	48
41	34	47
42	35	46
43	35	45
44	36	44
45	37	43
46	38	43
47	39	42
48	40	41
49	40	40
50	41	40
51	42	39
52	43	38
53	44	37
54	44	36
55	45	35
56	46	35
57	47	34
58	48	33
59	49	32
60	49	31
61	50	31
62	51	30
63	52	29
64	53	28
65	54	28
66	55	27
67	56	26
68	57	25
69	58	25
70	59	24
71	60	23
72	61	22
73	62	21
74	63	21
75	64	20
76	65	19
77	66	18
78	67	17
79	68	17
80	69	16
81	70	15
82	71	14
83	72	13
84	73	12
85	74	12
86	75	11
87	77	10
88	78	9
89	79	8
90	80	7
91	81	7
92	82	6
93	83	5
94	84	4
95	85	3
96	86	2
97	87	1
98	88	0
99	89	0
